Pipe ID ,Pipe Identification,Pipe Diameter,Pipe Material,Pipe Roughness,Pipe Construction Year,Age ,Pipe Measured Length,Degradation rate,Effect factor,X_Coordinates,Y_Coordinates,Elevation_(m) with Sea level,BREAK_DATE,BREAK_YEAR,XCOORD,YCOORD,Break_Count,Pipe Location Description
10176,LN107000,200,DIP,145,1974,16,26.21793172,0.75,-0.542857143,-79.48793133,43.63736643,87,1/30/2014,2014,305733.855,4832772.095,1,MANSE RD
11233,LN2002196,300,DIP,135,1981,16,18.4,2,-0.68,-79.29978191,43.71179021,141,7/5/1991,1991,320916.219,4841119.004,1,THE KINGSWAY
26730,LN103640,150,CI,135,1956,16,123.4,2,-0.68,-79.53913406,43.63739118,129,11/15/2000,2000,301631.242,4832837.981,1,GAYLORD DR
3002,LN63467,300,DIP,145,1966,18,256.09,0.75,-0.485714286,-79.30678116,43.67701102,96,3/2/2015,2015,320355.457,4837246.229,1,INTERNATIONAL BLVD
28204,LN4033054,150,CI,135,1946,18,58.6,2,-0.64,-79.3920839,43.75252739,163,12/12/1993,1993,313476.921,4845629.417,1,KIMBARK BLVD
15986,LN1354674,300,CI,135,1909,19,305.2,1,-0.62,-79.41669402,43.72208515,174,1/4/1997,1997,311490.582,4842238.838,1,LN N TYRREL W CHRISTIE
22624,LN4006272,150,CI,145,1951,19,2.5,0.75,-0.457142857,-79.50212923,43.7371876,169,12/12/2006,2006,304616.858,4843916.204,1,YVONNE AVE
6998,LN106981,200,AC,135,1963,20,22.5,2,-0.6,-79.56855816,43.66323192,140.0310991,8/25/1994,1994,299265.467,4835704.831,1,POPLAR RD
8432,LN2005254,150,CI,135,1949,20,11.9,2,-0.6,-79.40151866,43.6798599,128,2/4/2004,2004,312722.467,4837557.733,1,EVANS AVE
10545,LN2452725,150,CI,135,1950,20,223,2,-0.6,-79.44338288,43.66259747,114,1/22/1998,1998,309348.571,4835629.262,1,ROMNEY RD
10604,LN2452330,150,CI,140,1955,20,79.5,1,-0.6,-79.47946144,43.70369214,151.712748,8/5/1992,1992,306452.064,4840202.258,1,AVERY AVE
12281,LN1000050,300,CI,140,1907,20,120.4,1.5,-0.6,-79.51912565,43.66212204,125,1/30/2015,2015,303247.099,4835559.733,1,QUEEN ST E
18468,LN1352996,300,CI,135,1931,20,243.8044937,2,-0.6,-79.34701078,43.66278528,83,7/1/1990,1990,317124.122,4835656.576,1,DAVENPORT RD
19570,LN2004755,200,PVC,135,1985,20,4.4,2,-0.6,-79.39822295,43.79455973,176,12/27/1995,1995,312974.757,4850290.7,1,CODLIN CRES
22794,LN2447080,300,CI,135,1957,20,59.1,2,-0.6,-79.34249579,43.67295071,103,2/6/2008,2008,317481.365,4836802.436,1,RANGOON RD
23266,LN1358368,150,CI,135,1923,20,7.8,2,-0.6,-79.27369608,43.73077617,156,1/6/2009,2009,323014.659,4843229.266,1,EGLINTON AVE W
23937,LN103377,150,CI,135,1957,20,38.5,2,-0.6,-79.38426341,43.67081235,116,2/4/1993,1993,314120.529,4836564.236,1,DANUBE DR
27333,LN1021423,150,CI,145,1911,20,2.2,0.75,-0.428571429,-79.58102631,43.71399507,167,6/21/1994,1994,298262.359,4841327.239,1,RHODES AVE
28298,LN3009060,150,CI,135,1929,20,67.32,2,-0.6,-79.30223623,43.7404044,167,2/23/1993,1993,320711.589,4844291.243,1,VICTORIA PARK AVE
28824,LN4024171,150,CI,135,1956,20,95.5,2,-0.6,-79.35411766,43.6598173,80.83673156,3/3/2011,2011,316546.5,4835328.5,1,LIMERICK AVE
1713,LN19058,150,PVC,145,2005,21,3.7,0.75,-0.4,-79.52359951,43.64553928,121,11/21/1997,1997,302871.249,4833731.137,1,SUMMER DR
2576,LN1003472,150,CI,145,1921,21,27.40138385,0.75,-0.4,-79.55122315,43.68283913,156,3/15/1998,1998,300653.056,4837880.519,1,CARLAW AVE
6221,LN1355269,150,CI,135,1922,21,8.1,2,-0.58,-79.51240435,43.61048996,98.01939091,1/4/1999,1999,303781.192,4829838.487,1,ELM RD
7971,LN1358529,150,CI,135,1884,21,246.7,2,-0.58,-79.39461654,43.76505853,173,3/6/2010,2010,313273.682,4847001.906,1,BOULTON AVE
16052,LN4032991,300,PVC,145,1987,21,145.2,0.75,-0.4,-79.38797222,43.70890707,158,11/2/2001,2001,313807.391,4840768.823,1,York Gate Blvd
24013,LN1358963,150,CI,135,1912,21,302.5,2,-0.58,-79.42616895,43.77493903,184,1/5/2016,2016,310717.328,4848108.374,1,HIGHBOURNE RD
25905,LN1357924,200,CI,135,1963,21,12.2,2,-0.58,-79.32104114,43.77120915,173,1/28/1990,1990,319193.321,4847708.243,1,LOGAN AVE
31783,LN4028331,150,DIP,135,1977,21,295.9,2,-0.58,-79.46673604,43.63790996,77.26390492,1/7/1997,1997,307461.415,4832897.717,1,MARCELLINE CRES
3717,LN1353714,300,PVC,145,1986,22,56.5,0.5,-0.45,-79.38117498,43.7214374,152,1/12/2004,2004,314359.811,4842161.815,1,ROSEMOUNT AVE
7699,LN2451196,200,UNK,135,1966,22,106.6259861,2,-0.56,-79.4474987,43.70441874,173,12/18/1994,1994,309028.314,4840279.456,1,ORPINGTON CRES
16329,LN1354724,150,CI,135,1919,22,117.7,2,-0.56,-79.38980706,43.70107438,156,2/3/2000,2000,313666.469,4839906.528,1,ARDAGH ST
18593,LN100501,200,DIP,140,1967,22,44.82,1.5,-0.56,-79.54905046,43.69308031,150,1/16/2015,2015,300825.517,4839014.698,1,HUNTINGWOOD DR
18841,LN4027013,150,CI,135,1952,22,204.9,2,-0.56,-79.4686452,43.66550278,118,11/17/1995,1995,307312.755,4835948.961,1,DALLAS RD
